GKGRECORDID,DATE,first_sentence
20150301010000-1303,2015-03-01,Newspaper publisher Trinity Mirror will reveal a fall in profits tomorrow.
20150301010000-1308,2015-03-01,"The FTSE 100 soared to a record high last week, but private share buyers believe politicians need to do more to encourage stock market investment, and most believe politicians do not do enough to support them."
20150301010000-1311,2015-03-01,"The broadcaster ITV, which is in talks to buy the production company behind BBC1’s hit show The Voice, will report sharply increased profits this week as boss Adam Crozier’s five-year turnaround plan comes to fruition."
20150301010000-572,2015-03-01,It counts Prince Harry among its customers and now sales at the British arm of US food giant Whole Foods have topped £100million for the first time since launching here ten years ago.
20150302003000-689,2015-03-02,Billionaire investor Warren Buffett has admitted being ‘embarrassed’ by taking too long to exit a £1.5billion investment in Tesco as it became mired in an accounting scandal.
20150302140000-200,2015-03-02,Chocolatier Thorntons has reported a fall in half year sales and profits after it was hit by an unexpected drop in orders from two of its grocery partners as well as warehousing problems for its UK commercial business.
20150302140000-2958,2015-03-02," 17.35:The FTSE 100 closed 6.02 points lower at 6940.64 in a sizeable comedown from today's fresh all-time trading peak of 6,974.26."
20150302190000-1585,2015-03-02,Trinity Mirror – which publishes the Daily Mirror and the People newspapers – has unveiled plans to pay its first dividend to shareholders since 2008 on the day a two week trial began in the High Court over phone-hacking claims against the company.
20150302190000-2926,2015-03-02,Marks & Spencer's Asian boss Bruce Findlay has quit the retailer amid planned store closures by the FTSE 100 group in China.
20150302234500-1894,2015-03-02,"Barclays is expected to reveal today that it has set aside another £500m to pay fines for rigging foreign currency rates, taking its total bill for the scandal to £1billion."
20150302234500-1987,2015-03-02,"The fabulous Footsie managed to briefly reach fresh highs in the first session of the week, but failed to sustain its momentum as a slide in commodity prices weighed on the index, despite China’s interest rate cut over the weekend."
20150302234500-2656,2015-03-02,Marks & Spencer’s Chinese business is in a state of flux after a raft of initiatives announced almost a year ago have yet to materialise.
20150302234500-603,2015-03-02,The cure for cancer has not yet been found.
20150303093000-2534,2015-03-03, 17.40:The FTSE 100 closed down 51.51 points at at 6889.13 after Barclays results and other earnings reports disappointed traders.
20150303093000-989,2015-03-03,London's prestigious Grosvenor House hotel has collapsed into administration after its jailed Indian owner failed to remortgage the property in a desperate attempt to raise £1billion to pay for his bail.
20150304044500-1255,2015-03-04,"The sprawling empire of metal, oil and agriculture trading at Ivan Glasenberg’s Glencore offset the weak commodity prices that have crippled other mining giants."
20150304044500-1847,2015-03-04,Taylor Wimpey is more than doubling its dividend after becoming the latest builder to benefit from the recovery in the housing market.
20150304044500-434,2015-03-04,You don't need a fortune cookie to tell you that InterContinental’s new hotel chain aimed at Chinese customers has tapped into a rich seam.
20150304140000-11,2015-03-04,"Strong sales of fresh coffee and calorie-conscious sandwiches helped Greggs post record profits last year, as the firm continued a recovery has boosted its shares 77 per cent in the past year."
20150304140000-2760,2015-03-04, 17.30:The FTSE 100 closed up 30.11 points at 6919.24 as traders look ahead to Bank of England and European Central Bank rate verdicts tomorrow.
20150305000000-1562,2015-03-05,The opulent ‘executive wing’ where disgraced former Royal Bank of Scotland boss Fred Goodwin plotted global domination is to be converted into a hub for Scottish entrepreneurs and businesses.
20150305000000-1707,2015-03-05,Tony Fernandes grabbed his car keys and called his two children.
